word,phonetic,translation,level,example,partOfSpeech,definition,synonyms,antonyms
bee,/biː/,蜜蜂 ,B1,A swarm of bees flew into the garden.,noun,a yellow and black flying insect that makes honey and can sting you:,,
blog,/blɒɡ/,博客,B1,"She writes a food blog in which she shares recipes, tips, and restaurant reviews.",noun,"a regular record of your thoughts, opinions, or experiences that you put on the internet for other people to read:",,
behind,/bɪˈhaɪnd/,在后面 ,B1,Look behind you!,"preposition, adverb",at the back (of):,,
assignment,/əˈsaɪn.mənt/,任务 ,B1,a freelance/photo assignment,noun,"a piece of work given to someone, typically as part of their studies or job:",,
apart,/əˈpɑːt/,除外 ,B1,Stand with your feet wide apart.,adverb,separated by a distance or by time:,,
attend,/əˈtend/,出席,B1,Over two hundred people attended the funeral.,verb,"to go to an event, place, etc.:",,
away,/əˈweɪ/,离开 ,B1,I've given away all my old clothes to charity.,adverb,"somewhere else, or to or in a different place, position, or situation:",,
ball,/bɔːl/,球 ,B1,a beach/golf/tennis ball,noun,"any object in the shape of a sphere, especially one used as a toy by children or in various sports such as tennis and football:",,
by,/baɪ/,经过 ,B1,The motorcycle was driven by a tiny bald man.,preposition,used to show the person or thing that does something:,,
baby,/ˈbeɪ.bi/,婴儿 ,B1,Sandra had a baby on 29 May.,noun,"a very young child, especially one that has not yet begun to walk or talk:",,
acquire,/əˈkwaɪər/,获得 ,B1,From humble beginnings he went on to acquire great wealth.,verb,to get or obtain something:,,
better,/ˈbet.ər/,更好的,B1,He stood near the front to get a better view.,adjective,"comparative of 
good : of a higher standard, or more suitable, pleasing, or effective than other things or people:",,
assessment,/əˈses.mənt/,评估 ,B1,Would you say that is a fair assessment of the situation?,noun,"the act of judging or deciding the amount, value, quality, or importance of something, or the judgment or decision that is made:",,
blind,/blaɪnd/,瞎的 ,B1,He started to go (= become) blind in his sixties.,adjective,unable to see:,,
beauty,/ˈbjuː.ti/,美丽,B1,This is an area of outstanding natural beauty.,noun,"the quality of being pleasing and attractive, especially to look at:",,
basic,/ˈbeɪ.sɪk/,基本的 ,B1,I really need to get some basic financial advice.,adjective,"simple and not complicated, so able to provide the base or starting point from which something can develop:",,
aim,/eɪm/,目的 ,B1,My main aim in life is to be a good husband and father.,"verb, noun",a result that your plans or actions are intended to achieve:,,
bye,/baɪ/,再见 ,B1,Bye! See you next week!,exclam.,goodbye:,,
aspect,/ˈæs.pekt/,方面 ,B1,Which aspects of the job do you most enjoy?,noun,"one part of a situation, problem, subject, etc.:",aspect ratio,
advance,/ədˈvɑːns/,进步 ,B1,The fire advanced steadily through the forest.,"noun, verb, adjective","to go or move something forward, or to develop or improve something:",,
authority,/ɔːˈθɒr.ə.ti/,权威 ,B1,The United Nations has used/exerted/exercised its authority to restore peace in the area.,noun,the moral or legal right or ability to control:,,
busy,/ˈbɪz.i/,忙碌的 ,B1,I've got plenty of jobs to keep you busy.,adjective,"If you are busy, you are working hard, or giving your attention to a particular thing:",occupy,
acceptable,/əkˈsept.ə.bəl/,可以接受 ,B1,Clearly we need to come to an arrangement that is acceptable to both parties.,adjective,satisfactory and able to be agreed to or approved of:,,
attach,/əˈtætʃ/,附,B1,I attached a photo to my application form.,verb,"to fasten, join, or connect something:",,
battle,/ˈbæt.əl/,战斗,B1,the Battle of the Somme,noun,a fight between armed forces:,,
ancient,/ˈeɪn.ʃənt/,古老的,B1,ancient civilizations/rights/laws,adjective,"of or from a long time ago, having lasted for a very long time:",,
big,/bɪɡ/,大的 ,B1,He's a big man.,adjective,large in size or amount:,,
brave,/breɪv/,勇敢的,B1,a brave soldier,adjective,showing no fear of dangerous or difficult things:,,
apologize,/əˈpɒl.ə.dʒaɪz/,道歉 ,B1,I must apologize to Isobel for my lateness.,verb,to tell someone that you are sorry for having done something that has caused problems or unhappiness for them:,,
agree,/əˈɡriː/,同意,B1,Ann and I never seem to agree.,verb,to have the same opinion:,,
active,/ˈæk.tɪv/,积极的,B1,"He is 90 years old, but remains active in the local community.",adjective,busy with a particular activity:,,
achieve,/əˈtʃiːv/,达到 ,B1,"The government's training policy, he claimed, was achieving its objectives.",verb,"to succeed in finishing something or reaching an aim, especially after a lot of work or effort:",,
beg,/beɡ/,求,B1,They begged for mercy.,verb,to make a very strong and urgent request:,,
accommodation,/əˌkɒm.əˈdeɪ.ʃən/,住宿 ,B1,They paid for his flights and hotel accommodation.,noun,a place to stay or live:,,
accident,/ˈæk.sɪ.dənt/,事故 ,B1,Josh had an accident and spilled water all over his work.,noun,something bad that happens that is not expected or intended and that often damages something or injures someone:,,
boring,/ˈbɔː.rɪŋ/,无聊的 ,B1,She finds opera boring.,adjective,not interesting or exciting:,,
button,/ˈbʌt.ən/,按钮 ,B1,I did up (= fastened) the buttons on my blouse.,noun,"a small, usually circular object used to fasten something, for example a shirt or coat:",,
brand,/brænd/,品牌 ,B1,This isn't my usual brand of deodorant.,"noun, verb",a type of product made by a particular company and sold under a particular name:,,
attempt,/əˈtempt/,试图 ,B1,He attempted to escape through a window.,"noun, verb","to try to do something, especially something difficult:",,
actress,/ˈæk.trəs/,演员,B1,She's the highest-paid actress in Hollywood.,noun,"a woman who pretends to be someone else while performing in a film, play, or television programme:",,
angry,/ˈæŋ.ɡri/,生气的 ,B1,He's really angry at/with me for upsetting Sophie.,adjective,"having a strong feeling against someone who has behaved badly, making you want to shout at them or hurt them:",,
bin,/bɪn/,垃圾桶 ,B1,a litter bin,noun,a container for waste:,,
bake,/beɪk/,烤,B1,I made the icing while the cake was baking.,verb,"to cook inside an oven, without using added liquid or fat:",,
associate,/əˈsəʊ.si.eɪt/,联系 ,B1,Most people associate this brand with good quality.,verb,to connect someone or something in your mind with someone or something else:,,
access,/ˈæk.ses/,使用权,B1,The only access to the village is by boat.,"noun, verb",the method or possibility of getting near to a place or person:,,
board,/bɔːd/,木板 ,B1,Cheeses were laid out on a board.,noun,"a thin, flat piece of cut wood or other hard material, often used for a particular purpose:",snowboard,
bathroom,/ˈbɑːθ.ruːm/,浴室 ,B1,The house has four bedrooms and two bathrooms.,noun,a room with a bath and/or shower and often a toilet:,,
apparent,/əˈpær.ənt/,显而易见,B1,Her unhappiness was apparent to everyone.,adjective,able to be seen or understood:,,
bite,/baɪt/,咬 ,B1,He bit into the apple.,"verb, noun",to use your teeth to cut into something or someone:,,
abroad,/əˈbrɔːd/,国外,B1,We always go abroad in the summer.,adverb,in or to a foreign country or countries:,,
blank,/blæŋk/,空白的,B1,a blank sheet of paper,"adjective, noun","empty or clear, or containing no information or mark:",,
assist,/əˈsɪst/,协助,B1,You will be expected to assist the editor with the selection of illustrations for the book.,verb,to help:,,
blood,/blʌd/,血 ,B1,He lost a lot of blood in the accident.,noun,"the red liquid that is sent around the body by the heart, and carries oxygen and important substances to organs and tissue, and removes waste products:",,
act,/ækt/,行为 ,B1,Don't be so silly - you're acting like a child!,verb,to behave in the stated way:,,
backwards,/ˈbæk.wədz/,向后 ,B1,I walked backwards towards the door.,adverb,towards the direction that is opposite to the one in which you are facing or opposite to the usual direction:,,
agenda,/əˈdʒen.də/,议程 ,B1,There were several important items on the agenda.,noun,a list of matters to be discussed at a meeting:,,
any,/ˈen.i/,任何 ,B1,Is there any of that lemon cake left?,"determiner, pronoun","some, or even the smallest amount or number of:",,
anger,/ˈæŋ.ɡər/,愤怒 ,B1,"I think he feels a lot of anger towards his father, who treated him very badly as a child.",noun,a strong feeling that makes you want to hurt someone or be unpleasant because of something unfair or unkind that has happened:,,
alcohol,/ˈæl.kə.hɒl/,酒精,B1,"In Rhode Island, the legal age for purchase and consumption of alcohol is 21 years of age.",noun,drinks such as beer and wine that contain a substance that can make people drunk:,ethanol,
advertise,/ˈæd.və.taɪz/,广告,B1,We advertised our car in the local newspaper.,verb,"to make something known generally or in public, especially in order to sell it:",,
alarm,/əˈlɑːm/,警报 ,B1,He was almost home when the alarm sounded.,noun,"a warning of danger, usually a loud noise or flashing light:",,
able,/ˈeɪ.bəl/,有能力的,B1,Will she be able to cope with the work?,adjective,"to have the necessary physical strength, mental power, skill, time, money, or opportunity to do something:",,
along,/əˈlɒŋ/,沿着,B1,a romantic walk along the beach/river,"preposition, adverb","from one part of a road, river, etc. to another:",,
because,/bɪˈkəz/,因为 ,B1,"""Why did you do it?"" ""Because Carlos told me to"".",conjunction,for the reason that:,,
argument,/ˈɑːɡ.jə.mənt/,争论 ,B1,The children had an argument about/over what game to play.,noun,"a disagreement, or the process of disagreeing:",,
but,/bʌt/,但,B1,She's not only a painter but also a writer (= she is both).,conjunction,"used to introduce an added statement, usually something that is different from what you have said before:",,
boss,/bɒs/,老板 ,B1,She was the boss of a large international company.,noun,the person who is in charge of an organization and who tells others what to do:,,
aware,/əˈweər/,意识到的 ,B1,I wasn't even aware that he was ill.,adjective,"knowing that something exists, or having knowledge or experience of a particular thing:",,
bath,/bɑːθ/,洗澡,B1,Susannah has a long hot bath every evening.,noun,"a long plastic, metal, or ceramic container that is filled with water so that you can sit or lie in it to wash your whole body",,
attractive,/əˈtræk.tɪv/,吸引人的 ,B1,a very attractive young woman,adjective,very pleasing in appearance or sound:,,
become,/bɪˈkʌm/,变得 ,B1,I was becoming increasingly suspicious of his motives.,verb,to start to be:,,
bean,/biːn/,豆,B1,green beans,noun,"a seed, or the pod containing seeds, of various climbing plants, eaten as a vegetable:",,
advertising,/ˈæd.və.taɪ.zɪŋ/,广告 ,B1,Fiona works in advertising.,noun,the business of trying to persuade people to buy products or services:,,
approve,/əˈpruːv/,批准 ,B1,She doesn't approve of my friends.,verb,to have a positive opinion of someone or something:,,
bicycle,/ˈbaɪ.sɪ.kəl/,自行车,B1,I go to work by bicycle.,noun,a two-wheeled vehicle that you sit on and move by turning the two pedals (= flat parts you press with your feet):,cycle,
bend,/bend/,弯曲 ,B1,The road bends to the left after the traffic lights.,"verb, noun",to (cause to) curve:,,
